siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-22,,SERVİSİN MASASI YERİNE YENİ BİNASI İÇİN DEMO OLARAK BIRAKILDI, 
2020-10-27,2020-10-02 00:00:00,15, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2020-10-07,,, 
2021-01-04,2021-01-20,16,
2021-01-07,2021-01-12,5,
2021-01-07,2021-01-23,16,
2021-01-07,2021-01-23,16,
2021-01-07,2021-01-23,16,
2021-01-07,2021-01-23,16,
2021-01-07,2021-01-23,16,
2021-02-02,2021-02-02,,
2021-02-04,2021-02-23,19,
2021-02-12,2021-03-21,37,
2021-02-12,2021-03-21,37,
2021-02-18,2021-04-18,59,
2021-05-03,2021-05-04,1,
2021-09-10,2021-09-13,3,
2021-02-11,,,
2021-09-10,2021-09-13,3,
2021-05-18,2021-07-21,64,
2021-11-04,2022-01-02,59,
2021-11-16,2021-11-24,8,
2021-06-17,2021-06-19,2,
2021-02-12,2021-03-21,37,
2021-02-12,2021-03-21,37,
2021-02-12,2021-03-21,37,
2021-04-16,2021-05-12,26,
2021-09-21,2021-09-21,0,
2021-09-14,2021-10-14,30,
2021-09-10,2021-09-13,3,
2021-09-24,2021-12-02,69,
2021-09-29,2021-10-30,31,
2021-10-20,2021-11-20,31,
2021-09-10,2021-09-13,3,
2021-03-10,,,
2021-03-10,,,
2021-04-06,2021-06-09,64,
2021-04-06,2021-06-09,64,
2021-09-10,2021-09-13,3,
2021-09-24,2021-12-02,69,
2021-09-24,2021-12-02,69,
2021-04-08,2021-12-02,238,
2021-04-08,2021-12-02,238,
2021-04-08,2021-12-02,238,
2021-04-08,2021-12-02,238,
2021-04-08,2021-12-02,238,
2021-04-08,2021-12-02,238,
2021-09-10,2021-09-13,3,
2021-09-10,2021-09-13,3,
2021-04-08,,,
2021-04-10,2021-04-10,cihaz geri geldi.,
2021-09-07,2021-09-30,23,
2021-07-27,2021-08-10,14,
2021-07-27,2021-08-10,14,
2021-07-30,2021-08-06,7,
2021-09-08,2021-11-11,64,
2021-09-08,2021-11-11,64,
2021-09-08,2021-11-11,64,
2021-09-21,2021-11-19,59,
